[2025-10-03 09:13:21,277::train::INFO] Namespace(config='configs/new.yml', device='cuda', resume_iter=None, logdir='./logs_spectra')
[2025-10-03 09:13:21,277::train::INFO] {'model': {'network': 'dualenc_v4', 'hidden_dim': 128, 'num_convs': 6, 'num_convs_local': 4, 'cutoff': 10.0, 'mlp_act': 'relu', 'edge_order': 3, 'edge_encoder': 'mlp', 'smooth_conv': False, 'beta_schedule': 'quad', 'beta_start': 1e-07, 'beta_end': 0.002, 'num_diffusion_timesteps': 5000, 'total_spec_len': 1200, 'spec_patch_size': 20, 'spec_embed_dim': 128, 'spec_num_heads': 4, 'spec_num_layers': 2, 'spec_num_concepts': 8}, 'train': {'seed': 2021, 'batch_size': 32, 'val_freq': 3000, 'max_iters': 1000000, 'max_grad_norm': 1000.0, 'anneal_power': 2.0, 'kl_weight': 0.0001, 'optimizer': {'type': 'adam', 'lr': 0.0001, 'weight_decay': 0.0, 'beta1': 0.95, 'beta2': 0.999}, 'scheduler': {'type': 'cosine', 'T_max': 500000, 'eta_min': 1e-06}}, 'dataset': {'train': './qme14s_all/train_data.pkl', 'val': './qme14s_all/test_data.pkl', 'test': './qme14s_all/test_data.pkl'}}
[2025-10-03 09:13:21,277::train::INFO] 正在加载数据集...
[2025-10-03 09:13:21,418::train::INFO] 数据集加载成功: 训练集 90 | 验证集 10
[2025-10-03 09:13:21,418::train::INFO] 正在构建模型...
[2025-10-03 09:13:22,220::train::INFO] [训练] Iter 00001 | 总损失 3191137.00 | 全局损失 180.20 | 局部损失 3190957.25 | 梯度范数 254732352.00 | 学习率 0.000100
[2025-10-03 09:13:24,458::train::INFO] [训练] Iter 00020 | 总损失 870.70 | 全局损失 107.67 | 局部损失 763.00 | 梯度范数 386516.19 | 学习率 0.000100
[2025-10-03 09:13:24,567::train::INFO] [训练] Iter 00021 | 总损失 1526.08 | 全局损失 133.06 | 局部损失 1392.98 | 梯度范数 631216.31 | 学习率 0.000100
[2025-10-03 09:13:24,680::train::INFO] [训练] Iter 00022 | 总损失 7746.94 | 全局损失 98.22 | 局部损失 7648.68 | 梯度范数 5877375.00 | 学习率 0.000100
[2025-10-03 09:13:24,787::train::INFO] [训练] Iter 00023 | 总损失 1102.55 | 全局损失 86.30 | 局部损失 1016.21 | 梯度范数 732247.69 | 学习率 0.000100
[2025-10-03 09:13:24,919::train::INFO] [训练] Iter 00024 | 总损失 688.89 | 全局损失 116.13 | 局部损失 572.72 | 梯度范数 258801.23 | 学习率 0.000100
[2025-10-03 09:13:25,067::train::INFO] [训练] Iter 00025 | 总损失 935.29 | 全局损失 150.62 | 局部损失 784.63 | 梯度范数 375344.47 | 学习率 0.000100
[2025-10-03 09:13:25,196::train::INFO] [训练] Iter 00026 | 总损失 3349.53 | 全局损失 302.54 | 局部损失 3046.96 | 梯度范数 1765254.12 | 学习率 0.000100
[2025-10-03 09:13:25,332::train::INFO] [训练] Iter 00027 | 总损失 819.19 | 全局损失 104.95 | 局部损失 714.21 | 梯度范数 292524.78 | 学习率 0.000100
[2025-10-03 09:13:25,467::train::INFO] [训练] Iter 00028 | 总损失 1573.74 | 全局损失 203.27 | 局部损失 1370.43 | 梯度范数 552045.62 | 学习率 0.000100
[2025-10-03 09:13:25,592::train::INFO] [训练] Iter 00029 | 总损失 1874.27 | 全局损失 95.19 | 局部损失 1779.04 | 梯度范数 432106.03 | 学习率 0.000100
[2025-10-03 09:13:25,727::train::INFO] [训练] Iter 00030 | 总损失 1600.77 | 全局损失 86.13 | 局部损失 1514.60 | 梯度范数 693349.00 | 学习率 0.000100
[2025-10-03 09:13:25,854::train::INFO] [训练] Iter 00031 | 总损失 2635.21 | 全局损失 270.84 | 局部损失 2364.33 | 梯度范数 824261.25 | 学习率 0.000100
[2025-10-03 09:13:25,990::train::INFO] [训练] Iter 00032 | 总损失 1796.86 | 全局损失 174.59 | 局部损失 1622.22 | 梯度范数 621685.00 | 学习率 0.000100
[2025-10-03 09:13:26,114::train::INFO] [训练] Iter 00033 | 总损失 1391.24 | 全局损失 91.97 | 局部损失 1299.23 | 梯度范数 481939.97 | 学习率 0.000100
[2025-10-03 09:13:26,228::train::INFO] [训练] Iter 00034 | 总损失 1135.97 | 全局损失 96.40 | 局部损失 1039.53 | 梯度范数 377426.41 | 学习率 0.000100
[2025-10-03 09:13:26,378::train::INFO] [训练] Iter 00035 | 总损失 2003.64 | 全局损失 138.66 | 局部损失 1864.94 | 梯度范数 454941.81 | 学习率 0.000100
[2025-10-03 09:13:26,529::train::INFO] [训练] Iter 00036 | 总损失 695.94 | 全局损失 89.46 | 局部损失 606.44 | 梯度范数 176676.39 | 学习率 0.000100
[2025-10-03 09:13:26,677::train::INFO] [训练] Iter 00037 | 总损失 1125.72 | 全局损失 90.47 | 局部损失 1035.21 | 梯度范数 451405.03 | 学习率 0.000100
[2025-10-03 09:13:26,847::train::INFO] [训练] Iter 00038 | 总损失 2026.95 | 全局损失 220.83 | 局部损失 1806.08 | 梯度范数 918546.69 | 学习率 0.000100
[2025-10-03 09:13:26,955::train::INFO] [训练] Iter 00039 | 总损失 673.21 | 全局损失 97.54 | 局部损失 575.63 | 梯度范数 235390.88 | 学习率 0.000100
[2025-10-03 09:13:27,064::train::INFO] [训练] Iter 00040 | 总损失 381.79 | 全局损失 100.16 | 局部损失 281.59 | 梯度范数 66569.09 | 学习率 0.000100
[2025-10-03 09:13:27,167::train::INFO] [训练] Iter 00041 | 总损失 480.86 | 全局损失 106.26 | 局部损失 374.56 | 梯度范数 176194.84 | 学习率 0.000100
[2025-10-03 09:13:27,294::train::INFO] [训练] Iter 00042 | 总损失 851.89 | 全局损失 105.63 | 局部损失 746.21 | 梯度范数 237428.09 | 学习率 0.000100
[2025-10-03 09:13:27,424::train::INFO] [训练] Iter 00043 | 总损失 972.17 | 全局损失 97.46 | 局部损失 874.68 | 梯度范数 385149.34 | 学习率 0.000100
[2025-10-03 09:13:27,546::train::INFO] [训练] Iter 00044 | 总损失 1257.12 | 全局损失 206.42 | 局部损失 1050.67 | 梯度范数 522043.78 | 学习率 0.000100
[2025-10-03 09:13:27,668::train::INFO] [训练] Iter 00045 | 总损失 488.89 | 全局损失 85.68 | 局部损失 403.17 | 梯度范数 129443.65 | 学习率 0.000100
[2025-10-03 09:13:27,794::train::INFO] [训练] Iter 00046 | 总损失 475.10 | 全局损失 101.54 | 局部损失 373.52 | 梯度范数 92468.45 | 学习率 0.000100
[2025-10-03 09:13:27,959::train::INFO] [训练] Iter 00047 | 总损失 738.71 | 全局损失 208.23 | 局部损失 530.44 | 梯度范数 88303.27 | 学习率 0.000100
[2025-10-03 09:13:28,106::train::INFO] [训练] Iter 00048 | 总损失 580.65 | 全局损失 92.82 | 局部损失 487.80 | 梯度范数 200590.72 | 学习率 0.000100
[2025-10-03 09:13:28,229::train::INFO] [训练] Iter 00049 | 总损失 395.86 | 全局损失 110.89 | 局部损失 284.93 | 梯度范数 72002.76 | 学习率 0.000100
[2025-10-03 09:13:28,350::train::INFO] [训练] Iter 00050 | 总损失 395.02 | 全局损失 97.12 | 局部损失 297.86 | 梯度范数 57722.25 | 学习率 0.000100
[2025-10-03 09:13:28,461::train::INFO] [训练] Iter 00051 | 总损失 726.15 | 全局损失 440.36 | 局部损失 285.75 | 梯度范数 38898.16 | 学习率 0.000100
[2025-10-03 09:13:28,571::train::INFO] [训练] Iter 00052 | 总损失 345.05 | 全局损失 84.11 | 局部损失 260.89 | 梯度范数 64735.14 | 学习率 0.000100
[2025-10-03 09:13:28,686::train::INFO] [训练] Iter 00053 | 总损失 427.28 | 全局损失 113.87 | 局部损失 313.37 | 梯度范数 78321.23 | 学习率 0.000100
[2025-10-03 09:13:28,798::train::INFO] [训练] Iter 00054 | 总损失 1195.58 | 全局损失 142.89 | 局部损失 1052.64 | 梯度范数 440143.72 | 学习率 0.000100
[2025-10-03 09:13:28,929::train::INFO] [训练] Iter 00055 | 总损失 349.90 | 全局损失 79.66 | 局部损失 270.20 | 梯度范数 44998.39 | 学习率 0.000100
[2025-10-03 09:13:29,061::train::INFO] [训练] Iter 00056 | 总损失 606.83 | 全局损失 283.83 | 局部损失 322.95 | 梯度范数 39413.69 | 学习率 0.000100
[2025-10-03 09:13:29,180::train::INFO] [训练] Iter 00057 | 总损失 317.89 | 全局损失 98.25 | 局部损失 219.61 | 梯度范数 12259.25 | 学习率 0.000100
[2025-10-03 09:13:29,342::train::INFO] [训练] Iter 00058 | 总损失 365.45 | 全局损失 111.58 | 局部损失 253.83 | 梯度范数 24024.00 | 学习率 0.000100
[2025-10-03 09:13:29,504::train::INFO] [训练] Iter 00059 | 总损失 447.68 | 全局损失 154.06 | 局部损失 293.58 | 梯度范数 25650.35 | 学习率 0.000100
[2025-10-03 09:13:29,673::train::INFO] [训练] Iter 00060 | 总损失 350.51 | 全局损失 70.13 | 局部损失 280.34 | 梯度范数 40892.60 | 学习率 0.000100
[2025-10-03 09:13:29,815::train::INFO] [训练] Iter 00061 | 总损失 432.50 | 全局损失 76.55 | 局部损失 355.91 | 梯度范数 75045.52 | 学习率 0.000100
[2025-10-03 09:13:29,928::train::INFO] [训练] Iter 00062 | 总损失 364.04 | 全局损失 57.35 | 局部损失 306.65 | 梯度范数 83987.02 | 学习率 0.000100
[2025-10-03 09:13:30,043::train::INFO] [训练] Iter 00063 | 总损失 919.20 | 全局损失 225.38 | 局部损失 693.78 | 梯度范数 206093.20 | 学习率 0.000100
[2025-10-03 09:13:30,152::train::INFO] [训练] Iter 00064 | 总损失 818.15 | 全局损失 90.18 | 局部损失 727.93 | 梯度范数 401331.06 | 学习率 0.000100
[2025-10-03 09:13:30,263::train::INFO] [训练] Iter 00065 | 总损失 488.11 | 全局损失 83.58 | 局部损失 404.48 | 梯度范数 171557.61 | 学习率 0.000100
[2025-10-03 09:13:30,376::train::INFO] [训练] Iter 00066 | 总损失 399.51 | 全局损失 73.99 | 局部损失 325.48 | 梯度范数 122166.60 | 学习率 0.000100
[2025-10-03 09:13:30,496::train::INFO] [训练] Iter 00067 | 总损失 543.47 | 全局损失 225.47 | 局部损失 317.97 | 梯度范数 84729.21 | 学习率 0.000100
[2025-10-03 09:13:30,612::train::INFO] [训练] Iter 00068 | 总损失 339.29 | 全局损失 99.84 | 局部损失 239.42 | 梯度范数 31746.07 | 学习率 0.000100
[2025-10-03 09:13:30,722::train::INFO] [训练] Iter 00069 | 总损失 333.83 | 全局损失 90.63 | 局部损失 243.16 | 梯度范数 31757.59 | 学习率 0.000100
[2025-10-03 09:13:30,863::train::INFO] [训练] Iter 00070 | 总损失 563.08 | 全局损失 286.09 | 局部损失 276.95 | 梯度范数 58971.93 | 学习率 0.000100
[2025-10-03 09:13:31,008::train::INFO] [训练] Iter 00071 | 总损失 534.15 | 全局损失 150.15 | 局部损失 383.96 | 梯度范数 105159.85 | 学习率 0.000100
[2025-10-03 09:13:31,150::train::INFO] [训练] Iter 00072 | 总损失 496.67 | 全局损失 67.52 | 局部损失 429.11 | 梯度范数 133042.78 | 学习率 0.000100
[2025-10-03 09:13:31,294::train::INFO] [训练] Iter 00073 | 总损失 483.26 | 全局损失 170.31 | 局部损失 312.91 | 梯度范数 57621.73 | 学习率 0.000100
[2025-10-03 09:13:31,407::train::INFO] [训练] Iter 00074 | 总损失 506.87 | 全局损失 91.82 | 局部损失 415.01 | 梯度范数 157487.53 | 学习率 0.000100
[2025-10-03 09:13:31,530::train::INFO] [训练] Iter 00075 | 总损失 575.74 | 全局损失 244.20 | 局部损失 331.51 | 梯度范数 35254.12 | 学习率 0.000100
[2025-10-03 09:13:31,643::train::INFO] [训练] Iter 00076 | 总损失 358.85 | 全局损失 72.49 | 局部损失 286.33 | 梯度范数 68420.55 | 学习率 0.000100
[2025-10-03 09:13:31,765::train::INFO] [训练] Iter 00077 | 总损失 440.91 | 全局损失 91.44 | 局部损失 349.43 | 梯度范数 132854.80 | 学习率 0.000100
[2025-10-03 09:13:31,868::train::INFO] [训练] Iter 00078 | 总损失 426.93 | 全局损失 74.78 | 局部损失 352.11 | 梯度范数 198520.92 | 学习率 0.000100
[2025-10-03 09:13:31,978::train::INFO] [训练] Iter 00079 | 总损失 346.39 | 全局损失 97.33 | 局部损失 249.03 | 梯度范数 12434.13 | 学习率 0.000100
[2025-10-03 09:13:32,090::train::INFO] [训练] Iter 00080 | 总损失 332.02 | 全局损失 100.32 | 局部损失 231.67 | 梯度范数 9587.60 | 学习率 0.000100
[2025-10-03 09:13:32,206::train::INFO] [训练] Iter 00081 | 总损失 451.39 | 全局损失 172.65 | 局部损失 278.70 | 梯度范数 33954.61 | 学习率 0.000100
[2025-10-03 09:13:32,356::train::INFO] [训练] Iter 00082 | 总损失 351.92 | 全局损失 95.10 | 局部损失 256.79 | 梯度范数 16753.00 | 学习率 0.000100
[2025-10-03 09:13:32,519::train::INFO] [训练] Iter 00083 | 总损失 580.46 | 全局损失 310.59 | 局部损失 269.84 | 梯度范数 45793.84 | 学习率 0.000100
[2025-10-03 09:13:32,645::train::INFO] [训练] Iter 00084 | 总损失 290.64 | 全局损失 88.63 | 局部损失 201.97 | 梯度范数 13838.77 | 学习率 0.000100
[2025-10-03 09:13:32,785::train::INFO] [训练] Iter 00085 | 总损失 417.92 | 全局损失 155.84 | 局部损失 262.05 | 梯度范数 19300.01 | 学习率 0.000100
[2025-10-03 09:13:32,905::train::INFO] [训练] Iter 00086 | 总损失 314.87 | 全局损失 94.76 | 局部损失 220.08 | 梯度范数 13564.54 | 学习率 0.000100
[2025-10-03 09:13:33,037::train::INFO] [训练] Iter 00087 | 总损失 269.37 | 全局损失 66.46 | 局部损失 202.87 | 梯度范数 10605.51 | 学习率 0.000100
[2025-10-03 09:13:33,190::train::INFO] [训练] Iter 00088 | 总损失 472.52 | 全局损失 239.77 | 局部损失 232.72 | 梯度范数 24607.55 | 学习率 0.000100
[2025-10-03 09:13:33,345::train::INFO] [训练] Iter 00089 | 总损失 303.27 | 全局损失 97.76 | 局部损失 205.47 | 梯度范数 8862.77 | 学习率 0.000100
[2025-10-03 09:13:33,485::train::INFO] [训练] Iter 00090 | 总损失 324.49 | 全局损失 107.54 | 局部损失 216.92 | 梯度范数 6539.71 | 学习率 0.000100
[2025-10-03 09:13:33,652::train::INFO] [训练] Iter 00091 | 总损失 412.10 | 全局损失 95.89 | 局部损失 316.17 | 梯度范数 40728.86 | 学习率 0.000100
[2025-10-03 09:13:33,826::train::INFO] [训练] Iter 00092 | 总损失 551.69 | 全局损失 222.64 | 局部损失 329.02 | 梯度范数 53062.58 | 学习率 0.000100
[2025-10-03 09:13:33,971::train::INFO] [训练] Iter 00093 | 总损失 315.32 | 全局损失 89.92 | 局部损失 225.36 | 梯度范数 17670.60 | 学习率 0.000100
[2025-10-03 09:13:34,122::train::INFO] [训练] Iter 00094 | 总损失 397.59 | 全局损失 101.89 | 局部损失 295.67 | 梯度范数 27064.96 | 学习率 0.000100
[2025-10-03 09:13:34,287::train::INFO] [训练] Iter 00095 | 总损失 500.58 | 全局损失 77.26 | 局部损失 423.28 | 梯度范数 83787.49 | 学习率 0.000100
[2025-10-03 09:13:34,391::train::INFO] [训练] Iter 00096 | 总损失 546.80 | 全局损失 241.97 | 局部损失 304.80 | 梯度范数 63922.48 | 学习率 0.000100
[2025-10-03 09:13:34,488::train::INFO] [训练] Iter 00097 | 总损失 311.42 | 全局损失 69.84 | 局部损失 241.54 | 梯度范数 45645.16 | 学习率 0.000100
[2025-10-03 09:13:34,603::train::INFO] [训练] Iter 00098 | 总损失 356.37 | 全局损失 131.49 | 局部损失 224.83 | 梯度范数 29303.63 | 学习率 0.000100
[2025-10-03 09:13:34,713::train::INFO] [训练] Iter 00099 | 总损失 246.35 | 全局损失 66.91 | 局部损失 179.39 | 梯度范数 12575.40 | 学习率 0.000100
[2025-10-03 09:13:34,833::train::INFO] [训练] Iter 00100 | 总损失 351.13 | 全局损失 115.60 | 局部损失 235.48 | 梯度范数 8582.11 | 学习率 0.000100
[2025-10-03 09:13:34,952::train::INFO] [训练] Iter 00101 | 总损失 303.60 | 全局损失 68.46 | 局部损失 235.10 | 梯度范数 8128.95 | 学习率 0.000100
[2025-10-03 09:13:35,062::train::INFO] [训练] Iter 00102 | 总损失 302.96 | 全局损失 106.25 | 局部损失 196.66 | 梯度范数 5097.38 | 学习率 0.000100
[2025-10-03 09:13:35,216::train::INFO] [训练] Iter 00103 | 总损失 289.35 | 全局损失 83.34 | 局部损失 205.97 | 梯度范数 11932.28 | 学习率 0.000100
[2025-10-03 09:13:35,351::train::INFO] [训练] Iter 00104 | 总损失 381.10 | 全局损失 85.31 | 局部损失 295.75 | 梯度范数 37804.59 | 学习率 0.000100
[2025-10-03 09:13:35,493::train::INFO] [训练] Iter 00105 | 总损失 339.32 | 全局损失 159.84 | 局部损失 179.44 | 梯度范数 19133.59 | 学习率 0.000100
[2025-10-03 09:13:35,661::train::INFO] [训练] Iter 00106 | 总损失 290.12 | 全局损失 73.36 | 局部损失 216.73 | 梯度范数 8539.08 | 学习率 0.000100
[2025-10-03 09:13:35,772::train::INFO] [训练] Iter 00107 | 总损失 359.71 | 全局损失 125.38 | 局部损失 234.29 | 梯度范数 14135.18 | 学习率 0.000100
[2025-10-03 09:13:35,893::train::INFO] [训练] Iter 00108 | 总损失 318.36 | 全局损失 98.66 | 局部损失 219.66 | 梯度范数 10473.24 | 学习率 0.000100
[2025-10-03 09:13:36,013::train::INFO] [训练] Iter 00109 | 总损失 558.64 | 全局损失 236.40 | 局部损失 322.20 | 梯度范数 63847.34 | 学习率 0.000100
[2025-10-03 09:13:36,121::train::INFO] [训练] Iter 00110 | 总损失 319.08 | 全局损失 95.66 | 局部损失 223.38 | 梯度范数 25314.53 | 学习率 0.000100
[2025-10-03 09:13:36,235::train::INFO] [训练] Iter 00111 | 总损失 296.17 | 全局损失 99.67 | 局部损失 196.46 | 梯度范数 21505.39 | 学习率 0.000100
[2025-10-03 09:13:36,364::train::INFO] [训练] Iter 00112 | 总损失 296.04 | 全局损失 88.46 | 局部损失 207.54 | 梯度范数 8574.83 | 学习率 0.000100
[2025-10-03 09:13:36,495::train::INFO] [训练] Iter 00113 | 总损失 271.91 | 全局损失 75.77 | 局部损失 196.10 | 梯度范数 14147.70 | 学习率 0.000100
[2025-10-03 09:13:36,597::train::INFO] [训练] Iter 00114 | 总损失 402.77 | 全局损失 168.17 | 局部损失 234.55 | 梯度范数 21819.90 | 学习率 0.000100
[2025-10-03 09:13:36,744::train::INFO] [训练] Iter 00115 | 总损失 312.00 | 全局损失 82.17 | 局部损失 229.78 | 梯度范数 40435.50 | 学习率 0.000100
[2025-10-03 09:13:36,893::train::INFO] [训练] Iter 00116 | 总损失 283.35 | 全局损失 56.59 | 局部损失 226.71 | 梯度范数 16651.47 | 学习率 0.000100
[2025-10-03 09:13:37,021::train::INFO] [训练] Iter 00117 | 总损失 351.13 | 全局损失 87.22 | 局部损失 263.87 | 梯度范数 95480.86 | 学习率 0.000100
[2025-10-03 09:13:37,153::train::INFO] [训练] Iter 00118 | 总损失 387.96 | 全局损失 144.34 | 局部损失 243.58 | 梯度范数 66564.37 | 学习率 0.000100
[2025-10-03 09:13:37,271::train::INFO] [训练] Iter 00119 | 总损失 289.68 | 全局损失 79.06 | 局部损失 210.58 | 梯度范数 25058.56 | 学习率 0.000100
[2025-10-03 09:13:37,403::train::INFO] [训练] Iter 00120 | 总损失 287.41 | 全局损失 87.01 | 局部损失 200.36 | 梯度范数 14200.03 | 学习率 0.000100
[2025-10-03 09:13:37,512::train::INFO] [训练] Iter 00121 | 总损失 270.00 | 全局损失 83.40 | 局部损失 186.56 | 梯度范数 8373.56 | 学习率 0.000100
[2025-10-03 09:13:37,648::train::INFO] [训练] Iter 00122 | 总损失 250.67 | 全局损失 71.72 | 局部损失 178.91 | 梯度范数 13208.53 | 学习率 0.000100
[2025-10-03 09:13:37,776::train::INFO] [训练] Iter 00123 | 总损失 532.10 | 全局损失 298.41 | 局部损失 233.65 | 梯度范数 13841.06 | 学习率 0.000100
[2025-10-03 09:13:37,914::train::INFO] [训练] Iter 00124 | 总损失 310.23 | 全局损失 78.75 | 局部损失 231.44 | 梯度范数 8907.34 | 学习率 0.000100
[2025-10-03 09:13:38,043::train::INFO] [训练] Iter 00125 | 总损失 363.48 | 全局损失 147.97 | 局部损失 215.46 | 梯度范数 22744.14 | 学习率 0.000100
[2025-10-03 09:13:38,200::train::INFO] [训练] Iter 00126 | 总损失 319.21 | 全局损失 105.54 | 局部损失 213.63 | 梯度范数 13602.11 | 学习率 0.000100
[2025-10-03 09:13:38,367::train::INFO] [训练] Iter 00127 | 总损失 355.04 | 全局损失 140.18 | 局部损失 214.82 | 梯度范数 46231.77 | 学习率 0.000100
[2025-10-03 09:13:38,500::train::INFO] [训练] Iter 00128 | 总损失 276.12 | 全局损失 78.41 | 局部损失 197.66 | 梯度范数 13163.40 | 学习率 0.000100
[2025-10-03 09:13:38,623::train::INFO] [训练] Iter 00129 | 总损失 376.39 | 全局损失 164.91 | 局部损失 211.43 | 梯度范数 29272.75 | 学习率 0.000100
[2025-10-03 09:13:38,725::train::INFO] [训练] Iter 00130 | 总损失 340.96 | 全局损失 165.02 | 局部损失 175.90 | 梯度范数 4349.06 | 学习率 0.000100
[2025-10-03 09:13:38,834::train::INFO] [训练] Iter 00131 | 总损失 435.57 | 全局损失 173.28 | 局部损失 262.25 | 梯度范数 12902.84 | 学习率 0.000100
[2025-10-03 09:13:38,938::train::INFO] [训练] Iter 00132 | 总损失 304.78 | 全局损失 107.20 | 局部损失 197.54 | 梯度范数 7671.26 | 学习率 0.000100
[2025-10-03 09:13:39,041::train::INFO] [训练] Iter 00133 | 总损失 288.50 | 全局损失 95.71 | 局部损失 192.76 | 梯度范数 18605.98 | 学习率 0.000100
[2025-10-03 09:13:39,142::train::INFO] [训练] Iter 00134 | 总损失 252.53 | 全局损失 73.66 | 局部损失 178.84 | 梯度范数 6799.77 | 学习率 0.000100
[2025-10-03 09:13:39,236::train::INFO] [训练] Iter 00135 | 总损失 309.33 | 全局损失 109.95 | 局部损失 199.34 | 梯度范数 6034.98 | 学习率 0.000100
[2025-10-03 09:13:39,347::train::INFO] [训练] Iter 00136 | 总损失 421.45 | 全局损失 187.75 | 局部损失 233.66 | 梯度范数 24111.27 | 学习率 0.000100
[2025-10-03 09:13:39,453::train::INFO] [训练] Iter 00137 | 总损失 230.22 | 全局损失 71.52 | 局部损失 158.65 | 梯度范数 3010.29 | 学习率 0.000100
[2025-10-03 09:13:39,584::train::INFO] [训练] Iter 00138 | 总损失 363.29 | 全局损失 147.31 | 局部损失 215.94 | 梯度范数 17310.81 | 学习率 0.000100
[2025-10-03 09:13:39,710::train::INFO] [训练] Iter 00139 | 总损失 264.65 | 全局损失 86.85 | 局部损失 177.76 | 梯度范数 18912.58 | 学习率 0.000100
